application_id,user_id,application_at,credit_score,approved,activated
73,100431,2026-05-29 15:18:00,725,0,0
74,100433,2026-05-19 18:58:00,638,1,0
75,100466,2026-05-26 03:13:00,642,0,0
76,100484,2026-06-01 10:25:00,694,1,1
77,100486,2026-05-18 04:14:00,610,1,1
78,100489,2026-06-06 10:51:00,612,0,0
79,100494,2026-06-05 02:48:00,850,1,1
80,100499,2026-06-16 22:54:00,606,1,1
81,100503,2026-05-17 14:53:00,633,1,1
82,100505,2026-05-21 08:28:00,684,1,1
83,100511,2026-05-28 21:06:00,827,1,1
84,100513,2026-05-10 07:16:00,729,1,1
85,100520,2026-05-24 12:42:00,565,1,0
86,100524,2026-06-07 02:46:00,850,1,1
87,100540,2026-06-01 12:25:00,691,1,0
88,100559,2026-05-10 15:59:00,618,1,1
89,100575,2026-06-05 22:05:00,574,1,1
90,100582,2026-05-08 19:29:00,516,0,0
91,100584,2026-05-18 12:36:00,644,1,1
92,100586,2026-05-10 14:29:00,675,0,0
93,100587,2026-05-22 07:26:00,806,0,0
94,100588,2026-05-17 17:27:00,561,1,1
95,100595,2026-05-13 06:35:00,666,0,0
96,100602,2026-05-18 19:25:00,616,0,0
97,100604,2026-05-23 20:56:00,499,0,0
98,100607,2026-05-27 11:35:00,560,1,1
99,100612,2026-05-06 09:45:00,649,1,1
100,100614,2026-05-16 11:06:00,641,1,1
101,100617,2026-05-07 17:46:00,761,1,1
102,100618,2026-05-28 08:27:00,634,1,1
103,100627,2026-05-25 22:27:00,714,1,1
104,100628,2026-06-06 11:12:00,746,1,1
105,100632,2026-05-31 23:54:00,540,1,1
106,100633,2026-05-10 15:33:00,717,1,1
107,100640,2026-05-10 22:19:00,588,1,1
108,100649,2026-05-09 10:33:00,710,0,0
109,100652,2026-05-19 21:08:00,594,0,0
110,100654,2026-05-13 21:58:00,614,1,1
111,100656,2026-05-17 03:51:00,540,1,1
112,100657,2026-05-20 07:46:00,802,1,0
113,100659,2026-05-12 14:54:00,656,0,0
114,100662,2026-05-29 08:45:00,657,1,1
115,100664,2026-05-19 12:31:00,744,0,0
116,100676,2026-05-16 15:04:00,625,1,1
117,100689,2026-06-02 08:16:00,760,1,0
118,100691,2026-05-16 13:13:00,619,1,0
119,100695,2026-06-04 02:22:00,667,1,1
120,100699,2026-05-19 22:34:00,591,0,0
121,100706,2026-05-31 12:09:00,499,1,0
122,100711,2026-05-31 13:00:00,533,1,1
123,100717,2026-05-28 06:23:00,748,1,1
124,100724,2026-05-08 01:59:00,605,0,0
125,100735,2026-05-25 16:17:00,671,0,0
126,100747,2026-05-05 20:40:00,801,1,1
127,100752,2026-06-15 20:21:00,671,1,1
128,100753,2026-05-03 06:04:00,586,1,1
129,100765,2026-06-06 23:31:00,652,1,0
130,100774,2026-05-08 06:18:00,593,1,1
131,100776,2026-05-29 05:30:00,676,0,0
132,100778,2026-05-05 13:44:00,690,1,1
133,100792,2026-06-04 01:47:00,696,0,0
134,100793,2026-06-02 16:42:00,644,0,0
135,100797,2026-05-22 03:18:00,607,0,0
136,100812,2026-06-01 08:34:00,579,0,0
137,100813,2026-06-04 16:41:00,565,0,0
138,100814,2026-06-14 06:52:00,664,0,0
139,100815,2026-05-15 21:43:00,697,1,1
140,100819,2026-05-02 15:31:00,573,1,1
141,100822,2026-05-02 12:00:00,560,1,1
142,100826,2026-05-21 08:28:00,635,1,1
143,100829,2026-05-11 20:23:00,619,0,0
144,100840,2026-06-18 13:37:00,460,1,1
145,100841,2026-05-14 13:29:00,823,1,1
146,100842,2026-05-09 04:16:00,665,1,1
147,100854,2026-05-30 12:14:00,742,1,1
148,100864,2026-06-04 20:33:00,620,1,1
149,100867,2026-05-31 04:20:00,677,1,1
150,100868,2026-05-19 11:54:00,647,1,1
151,100869,2026-05-23 07:15:00,656,1,0
152,100870,2026-05-25 20:08:00,729,0,0
153,100871,2026-05-28 23:15:00,743,0,0
154,100876,2026-06-02 17:23:00,646,0,0
155,100880,2026-05-15 04:43:00,717,0,0
156,100885,2026-05-29 12:03:00,579,0,0
157,100887,2026-05-23 12:40:00,753,1,1
158,100893,2026-05-30 10:41:00,666,1,0
159,100897,2026-06-07 05:56:00,646,1,0
160,100901,2026-05-17 10:32:00,657,0,0
161,100918,2026-05-09 08:05:00,771,1,1
162,100925,2026-05-28 21:26:00,463,0,0
163,100928,2026-05-16 14:28:00,568,0,0
164,100938,2026-05-30 10:04:00,546,0,0
165,100954,2026-05-20 20:17:00,594,0,0
166,100966,2026-06-06 12:52:00,709,1,1
167,100972,2026-05-21 12:43:00,658,0,0
168,100973,2026-06-09 00:01:00,663,0,0
169,100978,2026-05-24 21:15:00,645,1,1
170,100979,2026-06-11 23:19:00,736,0,0
171,100984,2026-05-19 08:58:00,628,1,1
172,100997,2026-05-20 06:04:00,794,0,0
173,101000,2026-05-31 03:18:00,598,1,1
174,101009,2026-05-31 15:11:00,591,0,0
175,101024,2026-05-12 09:02:00,621,1,1
176,101056,2026-05-28 01:13:00,630,1,1
177,101062,2026-05-11 18:46:00,548,0,0
178,101063,2026-05-11 11:37:00,750,1,1
179,101073,2026-05-14 14:22:00,667,0,0
180,101074,2026-06-01 09:20:00,604,0,0
181,101080,2026-05-13 11:26:00,650,0,0
182,101092,2026-05-15 03:30:00,717,0,0
183,101093,2026-05-10 02:02:00,665,0,0
184,101094,2026-05-13 22:25:00,707,1,1
185,101101,2026-05-27 09:00:00,476,1,1
186,101103,2026-05-29 20:01:00,631,0,0
187,101110,2026-05-14 08:20:00,644,1,1
188,101111,2026-05-06 13:21:00,588,0,0
189,101129,2026-05-17 23:12:00,702,0,0
190,101135,2026-06-09 21:34:00,683,1,1
191,101136,2026-05-18 06:48:00,657,0,0
192,101145,2026-06-08 23:48:00,603,0,0
193,101149,2026-05-19 13:50:00,614,1,0
194,101153,2026-05-19 19:55:00,661,1,0
195,101157,2026-05-09 20:37:00,702,1,1
196,101161,2026-05-24 17:09:00,678,1,0
197,101166,2026-06-03 03:50:00,784,0,0
198,101176,2026-06-13 23:51:00,769,1,1
199,101177,2026-05-31 15:02:00,604,1,1
200,101182,2026-05-24 03:29:00,718,0,0
201,101193,2026-05-30 17:52:00,731,1,1
202,101210,2026-05-23 02:27:00,667,1,0
203,101213,2026-05-22 06:20:00,533,0,0
204,101217,2026-06-11 11:00:00,637,1,0
205,101218,2026-05-22 19:02:00,686,1,1
206,101231,2026-05-23 11:13:00,791,1,1
207,101240,2026-05-23 15:14:00,833,1,0
208,101249,2026-05-29 03:09:00,523,0,0
209,101262,2026-05-14 09:25:00,630,1,1
210,101270,2026-06-02 23:11:00,628,1,1
211,101272,2026-05-24 02:35:00,783,1,1
212,101273,2026-05-04 13:54:00,726,1,1
213,101274,2026-05-08 09:03:00,751,0,0
214,101275,2026-05-17 15:58:00,548,0,0
215,101290,2026-05-23 16:34:00,672,1,0
216,101300,2026-05-22 12:06:00,640,1,1
217,101303,2026-06-02 20:53:00,669,1,0
218,101306,2026-05-27 18:55:00,731,1,1
219,101310,2026-05-27 08:21:00,624,0,0
220,101312,2026-06-04 20:10:00,613,0,0
221,101329,2026-05-10 14:55:00,705,0,0
222,101345,2026-05-17 18:12:00,705,1,1
223,101346,2026-05-21 12:24:00,704,0,0
224,101352,2026-05-28 20:02:00,655,1,1
225,101355,2026-05-20 22:58:00,566,1,0
226,101360,2026-06-02 14:45:00,508,1,1
227,101368,2026-05-30 13:29:00,545,0,0
228,101372,2026-05-29 11:14:00,503,0,0
229,101388,2026-05-11 23:44:00,691,1,1
230,101395,2026-05-25 06:43:00,759,1,1
231,101397,2026-05-30 07:44:00,730,1,1
232,101398,2026-05-09 18:25:00,627,0,0
233,101403,2026-05-26 01:00:00,751,1,1
234,101407,2026-05-29 01:03:00,683,0,0
235,101416,2026-05-28 22:28:00,551,0,0
236,101419,2026-05-29 08:23:00,584,1,1
237,101428,2026-05-15 11:46:00,771,1,1
238,101432,2026-05-12 05:51:00,606,0,0
239,101434,2026-06-03 20:41:00,569,0,0
240,101438,2026-05-14 01:48:00,699,1,1
241,101439,2026-05-09 02:04:00,689,1,1
242,101446,2026-06-08 09:54:00,622,0,0
243,101456,2026-06-02 21:52:00,657,0,0
244,101458,2026-05-25 22:45:00,481,1,1
245,101463,2026-06-03 11:55:00,735,1,1
246,101465,2026-05-10 04:43:00,702,1,1
247,101467,2026-05-17 13:38:00,512,1,1
248,101468,2026-05-19 02:02:00,553,1,1
249,101471,2026-06-08 03:18:00,668,0,0
250,101478,2026-05-26 05:41:00,706,1,1
251,101480,2026-05-21 00:50:00,798,1,1
252,101487,2026-05-21 23:23:00,568,1,0
253,101490,2026-06-07 13:55:00,753,0,0
254,101491,2026-05-19 17:18:00,814,1,0
255,101493,2026-05-05 23:02:00,601,0,0
256,101497,2026-06-02 15:51:00,545,0,0
257,101499,2026-05-21 12:38:00,683,0,0
258,101500,2026-05-29 19:09:00,598,0,0
259,101513,2026-05-08 06:37:00,557,1,1
260,101517,2026-05-14 19:17:00,740,1,0
261,101526,2026-05-11 00:08:00,684,0,0
262,101534,2026-05-26 16:35:00,552,0,0
263,101538,2026-06-04 03:13:00,777,1,0
264,101550,2026-05-19 03:51:00,839,1,1
265,101553,2026-06-05 00:27:00,583,1,1
266,101558,2026-05-24 18:17:00,667,1,0
267,101569,2026-05-31 06:46:00,780,1,1
268,101574,2026-05-16 02:05:00,628,0,0
269,101575,2026-05-18 04:58:00,610,1,0
270,101576,2026-05-31 12:23:00,633,1,0
271,101579,2026-05-23 06:07:00,500,1,1
272,101588,2026-06-08 23:10:00,648,0,0
273,101589,2026-05-25 16:41:00,650,1,1
274,101591,2026-06-13 19:48:00,572,0,0
275,101603,2026-05-10 17:31:00,612,0,0
276,101615,2026-05-30 09:20:00,664,0,0
277,101629,2026-05-28 21:17:00,687,0,0
278,101636,2026-05-21 12:54:00,697,0,0
279,101639,2026-05-31 02:43:00,593,0,0
280,101642,2026-05-20 15:23:00,592,1,1
281,101654,2026-05-06 00:36:00,433,0,0
282,101667,2026-06-06 10:30:00,593,1,1
283,101679,2026-05-20 18:31:00,429,1,1
284,101711,2026-05-20 19:59:00,581,0,0
285,101712,2026-05-08 00:09:00,663,0,0
286,101718,2026-05-28 09:48:00,591,1,1
287,101732,2026-05-10 17:19:00,638,0,0
288,101739,2026-05-25 11:10:00,697,1,1
289,101740,2026-05-29 15:19:00,505,1,0
290,101751,2026-05-27 20:00:00,725,1,1
291,101757,2026-06-03 02:59:00,826,1,1
292,101758,2026-05-23 05:47:00,695,0,0
293,101767,2026-05-31 17:45:00,621,1,1
294,101768,2026-05-29 09:42:00,597,1,1
295,101784,2026-05-30 12:27:00,587,1,1
296,101787,2026-06-03 10:45:00,658,1,1
297,101790,2026-06-08 09:33:00,673,0,0
298,101796,2026-05-11 05:05:00,590,0,0
299,101799,2026-05-07 11:56:00,533,1,0
300,101801,2026-05-21 06:54:00,726,1,1
301,101804,2026-05-17 17:20:00,773,1,1
302,101807,2026-05-20 18:09:00,679,1,1
303,101808,2026-05-16 22:58:00,558,0,0
304,101813,2026-05-20 16:18:00,636,0,0
305,101817,2026-06-08 17:13:00,688,0,0
306,101820,2026-05-27 14:01:00,652,1,1
307,101826,2026-05-29 13:10:00,718,1,1
308,101831,2026-05-26 04:53:00,626,1,0
309,101834,2026-05-17 10:08:00,577,0,0
310,101845,2026-06-01 07:56:00,605,0,0
311,101861,2026-05-09 07:55:00,692,1,1
312,101863,2026-05-07 10:44:00,579,1,1
313,101866,2026-05-05 08:19:00,704,0,0
314,101871,2026-05-08 03:20:00,592,0,0
315,101881,2026-05-13 22:49:00,558,1,1
316,101883,2026-05-26 20:04:00,785,0,0
317,101897,2026-05-10 01:49:00,576,1,0
318,101910,2026-05-20 18:01:00,683,1,1
319,101911,2026-06-01 03:05:00,550,0,0
320,101917,2026-06-09 18:11:00,603,0,0
321,101919,2026-05-10 00:27:00,686,1,1
322,101923,2026-05-19 23:25:00,762,1,1
323,101925,2026-06-09 18:21:00,653,1,0
324,101926,2026-05-19 03:14:00,712,0,0
325,101935,2026-05-05 08:12:00,635,1,1
326,101946,2026-06-04 18:58:00,686,1,0
327,101948,2026-05-27 13:09:00,758,0,0
328,101954,2026-05-29 11:12:00,767,0,0
329,101980,2026-05-16 09:44:00,629,0,0
330,101984,2026-05-18 11:58:00,626,1,1
331,101991,2026-05-13 09:25:00,656,0,0
332,102002,2026-05-27 00:30:00,706,0,0
333,102003,2026-05-25 23:04:00,559,0,0
334,102006,2026-05-10 11:01:00,560,1,1
335,102018,2026-05-20 00:41:00,814,1,1
336,102020,2026-05-13 21:43:00,710,1,0
337,102027,2026-05-15 21:26:00,661,1,1
338,102033,2026-05-15 05:58:00,694,1,1
339,102042,2026-06-09 00:07:00,714,0,0
340,102060,2026-05-19 03:52:00,597,1,1
341,102089,2026-05-21 13:25:00,663,1,1
342,102108,2026-05-14 12:15:00,626,1,1
343,102131,2026-06-06 18:48:00,689,1,0
344,102143,2026-05-24 10:58:00,611,1,1
345,102146,2026-05-20 04:51:00,588,0,0
346,102147,2026-05-30 09:42:00,649,0,0
347,102150,2026-05-30 10:39:00,694,0,0
348,102154,2026-06-11 14:52:00,702,0,0
349,102158,2026-05-27 05:46:00,636,1,1
350,102176,2026-05-28 20:30:00,702,1,1
351,102180,2026-05-25 01:00:00,673,1,1
352,102188,2026-05-30 20:32:00,708,0,0
353,102194,2026-05-28 17:08:00,651,0,0
354,102205,2026-06-01 04:38:00,693,1,1
355,102206,2026-05-26 01:02:00,724,1,0
356,102210,2026-06-01 21:54:00,709,1,1
357,102213,2026-05-27 20:47:00,658,1,1
358,102218,2026-06-14 06:37:00,765,1,0
359,102225,2026-05-21 18:17:00,694,0,0
360,102226,2026-05-30 13:45:00,677,1,0
361,102250,2026-05-04 23:33:00,830,1,0
362,102268,2026-05-06 04:06:00,714,1,1
363,102270,2026-05-11 10:45:00,523,1,1
364,102271,2026-05-25 03:55:00,713,1,1
365,102277,2026-05-21 06:52:00,523,0,0
366,102283,2026-06-06 08:13:00,442,1,1
367,102290,2026-06-08 13:49:00,616,0,0
368,102300,2026-05-24 12:41:00,683,1,1
369,102319,2026-05-18 22:07:00,581,0,0
370,102321,2026-06-02 14:13:00,802,0,0
371,102322,2026-06-01 23:55:00,627,1,0
372,102328,2026-05-23 23:08:00,733,0,0
373,102335,2026-05-20 00:54:00,677,0,0
374,102355,2026-05-24 05:34:00,651,1,0
375,102364,2026-05-09 04:45:00,544,0,0
376,102369,2026-05-23 00:51:00,722,0,0
377,102370,2026-05-31 03:33:00,763,1,1
378,102375,2026-06-09 04:32:00,590,1,1
379,102379,2026-05-23 10:49:00,588,0,0
380,102387,2026-05-22 02:46:00,764,1,1
381,102392,2026-06-12 01:05:00,759,0,0
382,102396,2026-05-25 02:43:00,686,1,0
383,102406,2026-05-17 18:34:00,686,1,1
384,102409,2026-05-17 07:04:00,620,1,1
385,102426,2026-05-26 02:43:00,731,0,0
386,102440,2026-05-17 04:26:00,601,0,0
387,102446,2026-05-18 19:12:00,649,1,0
388,102456,2026-05-20 05:03:00,678,1,0
389,102460,2026-05-23 05:52:00,839,1,1
390,102462,2026-05-24 02:08:00,662,1,0
391,102471,2026-05-20 02:48:00,568,1,0
392,102472,2026-05-31 04:31:00,557,0,0
393,102474,2026-05-22 08:41:00,657,1,1
394,102478,2026-06-06 00:39:00,600,0,0
395,102494,2026-06-07 17:51:00,765,1,1
396,102498,2026-05-18 13:39:00,767,0,0
397,102504,2026-05-09 07:19:00,581,0,0
398,102520,2026-05-31 05:54:00,536,0,0
399,102521,2026-05-22 09:52:00,670,0,0
400,102531,2026-05-28 05:04:00,694,0,0
401,102532,2026-05-22 16:20:00,628,0,0
402,102546,2026-05-19 01:11:00,604,1,1
403,102547,2026-05-20 21:31:00,532,1,1
404,102557,2026-05-30 09:34:00,710,1,0
405,102561,2026-05-19 11:37:00,664,0,0
406,102565,2026-05-25 16:00:00,709,0,0
407,102567,2026-05-28 01:32:00,677,1,1
408,102569,2026-05-19 22:36:00,540,0,0
409,102576,2026-05-29 17:16:00,637,1,1
410,102581,2026-05-31 11:54:00,688,1,1
411,102582,2026-06-04 03:13:00,662,0,0
412,102585,2026-05-24 01:19:00,650,1,0
413,102607,2026-05-19 17:06:00,652,0,0
414,102616,2026-05-30 07:30:00,518,0,0
415,102624,2026-06-04 04:20:00,571,0,0
416,102636,2026-05-28 03:39:00,679,0,0
417,102648,2026-05-30 05:17:00,613,0,0
418,102652,2026-05-14 13:52:00,753,1,0
419,102657,2026-06-06 08:35:00,655,1,0
420,102663,2026-05-20 23:38:00,620,0,0
421,102668,2026-05-03 00:31:00,569,1,1
422,102677,2026-05-27 01:48:00,728,0,0
423,102682,2026-05-02 02:19:00,596,0,0
424,102684,2026-05-13 13:09:00,826,1,1
425,102687,2026-05-17 21:42:00,675,0,0
426,102692,2026-06-07 06:14:00,552,1,0
427,102699,2026-05-12 11:56:00,547,0,0
428,102702,2026-05-31 20:30:00,658,1,1
429,102707,2026-05-24 15:38:00,589,1,1
430,102710,2026-05-27 10:11:00,736,1,1
431,102711,2026-05-25 14:49:00,511,1,0
432,102715,2026-06-16 13:58:00,597,1,1
433,102718,2026-05-14 23:28:00,504,0,0
434,102726,2026-05-27 17:38:00,640,1,1
435,102728,2026-06-10 01:52:00,651,1,1
436,102739,2026-05-09 11:57:00,642,1,1
437,102748,2026-06-07 04:44:00,540,1,1
438,102752,2026-05-08 22:13:00,581,1,0
439,102754,2026-06-03 03:48:00,538,1,0
440,102761,2026-05-21 17:47:00,540,0,0
441,102762,2026-06-01 06:15:00,608,0,0
442,102775,2026-05-10 12:33:00,710,0,0
443,102783,2026-06-04 02:32:00,698,0,0
444,102804,2026-05-19 12:10:00,657,0,0
445,102805,2026-05-13 02:10:00,537,0,0
446,102809,2026-06-11 10:49:00,591,1,0
447,102812,2026-05-18 23:33:00,649,0,0
448,102820,2026-05-24 14:35:00,659,1,1
449,102830,2026-06-03 13:46:00,729,1,1
450,102848,2026-06-12 23:24:00,620,0,0
451,102860,2026-06-07 05:49:00,608,0,0
452,102866,2026-05-05 01:15:00,617,1,1
453,102869,2026-05-14 06:35:00,712,1,1
454,102883,2026-06-01 14:55:00,752,1,1
455,102884,2026-05-20 20:02:00,633,0,0
456,102896,2026-06-02 01:12:00,687,1,0
457,102898,2026-05-29 00:19:00,544,1,0
458,102901,2026-05-31 13:53:00,558,1,1
459,102908,2026-06-03 14:18:00,692,1,0
460,102923,2026-05-28 08:59:00,611,1,1
461,102926,2026-06-06 02:54:00,557,0,0
462,102940,2026-05-06 04:12:00,773,1,1
463,102941,2026-05-11 02:06:00,497,1,0
464,102950,2026-05-14 04:00:00,518,1,0
465,102953,2026-05-09 08:07:00,586,0,0
466,102956,2026-05-31 22:28:00,714,0,0
467,102961,2026-05-24 11:48:00,671,1,1
468,102962,2026-05-29 00:05:00,527,1,1
469,102973,2026-05-27 10:30:00,690,1,0
470,102980,2026-05-07 12:35:00,682,1,0
471,102994,2026-05-07 21:52:00,657,0,0
472,102996,2026-05-08 04:38:00,713,1,1
473,102998,2026-06-02 19:40:00,639,1,0
474,102999,2026-05-18 02:32:00,570,0,0
475,103004,2026-05-20 21:26:00,691,0,0
476,103015,2026-06-02 22:42:00,684,0,0
477,103028,2026-05-19 01:59:00,741,0,0
478,103040,2026-06-05 01:30:00,704,0,0
479,103044,2026-06-04 01:22:00,529,1,0
480,103046,2026-05-15 22:19:00,629,1,1
481,103052,2026-05-22 05:36:00,572,1,0
482,103053,2026-05-09 07:22:00,633,1,1
483,103054,2026-06-01 05:48:00,520,0,0
484,103056,2026-05-26 06:59:00,642,0,0
485,103062,2026-05-24 17:14:00,709,1,1
486,103063,2026-05-16 08:38:00,585,1,1
487,103074,2026-05-25 12:16:00,722,1,1
488,103077,2026-05-24 19:15:00,667,1,1
489,103083,2026-05-16 18:56:00,619,0,0
490,103091,2026-05-31 14:43:00,578,0,0
491,103094,2026-05-20 13:08:00,688,1,1
492,103104,2026-05-19 21:50:00,645,1,1
493,103106,2026-05-25 04:42:00,653,1,1
494,103107,2026-05-12 14:14:00,534,1,1
495,103118,2026-06-01 09:37:00,694,1,1
496,103120,2026-05-10 09:36:00,659,0,0
497,103133,2026-05-14 07:22:00,595,1,0
498,103142,2026-05-16 09:10:00,641,0,0
499,103144,2026-05-24 23:02:00,599,0,0
500,103145,2026-05-17 03:17:00,644,1,1
501,103152,2026-05-30 00:36:00,556,1,1
502,103155,2026-05-27 01:13:00,776,0,0
503,103178,2026-05-21 09:27:00,574,1,1
504,103188,2026-05-19 19:12:00,572,0,0
505,103190,2026-05-26 00:43:00,652,1,1
506,103191,2026-05-11 10:29:00,722,1,1
507,103192,2026-05-17 09:36:00,739,1,1
508,103200,2026-05-07 01:18:00,529,0,0
509,103218,2026-05-14 12:04:00,651,1,1
510,103224,2026-05-26 01:57:00,609,1,0
511,103229,2026-05-17 07:18:00,667,1,1
512,103238,2026-06-09 15:36:00,597,0,0
513,103242,2026-05-11 15:16:00,574,1,1
514,103247,2026-05-22 03:40:00,697,1,1
515,103249,2026-06-06 03:47:00,684,1,1
516,103258,2026-05-23 15:51:00,549,1,1
517,103259,2026-05-25 18:11:00,755,1,1
518,103267,2026-05-06 08:02:00,660,1,1
519,103270,2026-05-31 19:32:00,717,0,0
520,103282,2026-05-29 22:53:00,672,1,1
521,103290,2026-05-30 05:23:00,782,1,0
522,103294,2026-05-23 15:40:00,723,1,1
523,103299,2026-05-25 07:55:00,666,1,1
524,103311,2026-05-10 13:50:00,729,1,0
525,103313,2026-05-26 19:37:00,615,0,0
526,103315,2026-06-07 23:55:00,714,1,1
527,103319,2026-06-01 02:29:00,563,0,0
528,103323,2026-05-04 21:04:00,544,0,0
529,103326,2026-05-16 14:15:00,626,1,0
530,103328,2026-05-26 22:15:00,564,0,0
531,103330,2026-05-13 07:05:00,600,0,0
532,103331,2026-05-15 00:11:00,746,1,0
533,103334,2026-05-26 09:22:00,590,1,1
534,103336,2026-05-11 00:42:00,623,0,0
535,103343,2026-06-04 18:52:00,525,0,0
536,103358,2026-05-09 08:59:00,677,0,0
537,103369,2026-05-01 22:15:00,646,0,0
538,103378,2026-05-20 08:04:00,665,0,0
539,103384,2026-05-16 08:33:00,628,1,1
540,103388,2026-05-03 10:44:00,618,1,1
541,103395,2026-05-29 08:14:00,627,0,0
542,103405,2026-05-09 20:08:00,661,1,0
543,103415,2026-06-04 13:01:00,729,1,1
544,103417,2026-05-27 12:41:00,689,0,0
545,103418,2026-05-21 04:34:00,729,0,0
546,103420,2026-05-24 10:34:00,667,1,1
547,103428,2026-05-27 17:30:00,742,1,0
548,103429,2026-05-29 23:29:00,596,0,0
549,103435,2026-05-24 03:15:00,694,1,1
550,103437,2026-05-23 15:31:00,806,1,1
551,103442,2026-05-27 10:27:00,731,1,1
552,103443,2026-05-22 13:46:00,738,1,1
553,103445,2026-06-09 11:41:00,695,1,1
554,103448,2026-05-08 03:43:00,678,1,0
555,103469,2026-05-25 07:39:00,680,0,0
556,103479,2026-05-29 03:23:00,647,1,1
557,103480,2026-06-09 00:21:00,724,1,1
558,103497,2026-05-20 15:19:00,678,1,1
559,103499,2026-05-15 07:57:00,574,0,0
560,103505,2026-05-12 13:12:00,676,0,0
561,103510,2026-05-19 07:09:00,638,0,0
562,103511,2026-05-29 12:35:00,613,1,1
563,103517,2026-06-16 19:24:00,549,0,0
564,103519,2026-05-28 04:47:00,717,0,0
565,103520,2026-05-23 10:36:00,723,1,1
566,103524,2026-06-15 21:50:00,743,1,1
567,103535,2026-05-29 19:51:00,621,0,0
568,103538,2026-05-09 11:29:00,673,1,1
569,103546,2026-05-26 18:55:00,673,0,0
570,103553,2026-06-13 21:38:00,676,1,1
571,103568,2026-05-30 01:24:00,599,0,0
572,103571,2026-05-18 16:04:00,794,1,1
573,103574,2026-06-06 16:27:00,724,1,1
574,103577,2026-05-18 12:02:00,517,1,0
575,103580,2026-05-06 04:52:00,778,1,1
576,103589,2026-05-18 10:11:00,604,0,0
577,103591,2026-05-15 08:16:00,617,0,0
578,103594,2026-06-03 09:56:00,706,1,1
579,103603,2026-05-19 23:25:00,664,1,0
580,103618,2026-06-12 08:33:00,723,1,1
581,103619,2026-05-19 03:27:00,645,0,0
