user_id,experiment_group,assigned_at
100069,B,2026-05-17 16:00:00
100070,A,2026-05-19 15:00:00
100071,A,2026-05-17 06:00:00
100072,A,2026-05-23 22:00:00
100073,B,2026-05-02 09:00:00
100074,A,2026-05-28 16:00:00
100075,B,2026-05-17 10:00:00
100076,B,2026-05-19 23:00:00
100077,A,2026-05-22 19:00:00
100078,B,2026-05-27 00:00:00
100079,A,2026-05-27 00:00:00
100080,B,2026-05-05 21:00:00
100081,B,2026-05-14 04:00:00
100082,B,2026-05-08 08:00:00
100083,B,2026-05-13 21:00:00
100084,B,2026-05-04 23:00:00
100085,B,2026-05-25 15:00:00
100086,A,2026-05-21 20:00:00
100087,A,2026-05-07 18:00:00
100088,B,2026-05-02 03:00:00
100089,A,2026-05-23 02:00:00
100090,A,2026-05-05 02:00:00
100091,A,2026-05-10 13:00:00
100092,A,2026-05-24 20:00:00
100093,B,2026-05-20 22:00:00
100094,B,2026-05-27 12:00:00
100095,B,2026-05-22 15:00:00
100096,B,2026-05-23 17:00:00
100097,B,2026-05-13 14:00:00
100098,A,2026-05-26 12:00:00
100099,B,2026-05-06 15:00:00
100100,A,2026-05-26 07:00:00
100101,A,2026-05-19 03:00:00
100102,B,2026-05-28 03:00:00
100103,B,2026-05-05 18:00:00
100104,B,2026-05-09 10:00:00
100105,A,2026-05-21 21:00:00
100106,A,2026-05-25 03:00:00
100107,A,2026-05-16 12:00:00
100108,B,2026-05-25 02:00:00
100109,B,2026-05-23 12:00:00
100110,B,2026-05-23 13:00:00
100111,B,2026-05-26 13:00:00
100112,B,2026-05-06 08:00:00
100113,B,2026-05-03 14:00:00
100114,B,2026-05-23 11:00:00
100115,B,2026-05-15 08:00:00
100116,A,2026-05-03 22:00:00
100117,A,2026-05-15 03:00:00
100118,B,2026-05-01 12:00:00
100119,A,2026-05-26 15:00:00
100120,B,2026-05-19 00:00:00
100121,A,2026-05-20 10:00:00
100122,B,2026-05-20 19:00:00
100123,B,2026-05-06 14:00:00
100124,A,2026-05-22 11:00:00
100125,B,2026-05-11 23:00:00
100126,A,2026-05-11 09:00:00
100127,B,2026-05-24 13:00:00
100128,A,2026-05-09 11:00:00
100129,B,2026-05-05 20:00:00
100130,B,2026-05-19 03:00:00
100131,B,2026-05-09 20:00:00
100132,B,2026-05-28 05:00:00
100133,B,2026-05-02 04:00:00
100134,B,2026-05-26 02:00:00
100135,B,2026-05-01 10:00:00
100136,A,2026-05-08 23:00:00
100137,A,2026-05-09 20:00:00
100138,A,2026-05-28 04:00:00
100139,A,2026-05-04 13:00:00
100140,A,2026-05-13 13:00:00
100141,B,2026-05-12 01:00:00
100142,B,2026-05-02 20:00:00
100143,B,2026-05-27 22:00:00
100144,B,2026-05-19 18:00:00
100145,A,2026-05-21 22:00:00
100146,A,2026-05-26 16:00:00
100147,B,2026-05-07 19:00:00
100148,B,2026-05-16 01:00:00
100149,A,2026-05-22 20:00:00
100150,A,2026-05-23 02:00:00
100151,A,2026-05-10 21:00:00
100152,A,2026-05-11 15:00:00
100153,A,2026-05-22 23:00:00
100154,A,2026-05-09 23:00:00
100155,A,2026-05-03 08:00:00
100156,A,2026-05-13 20:00:00
100157,A,2026-05-15 05:00:00
100158,A,2026-05-16 21:00:00
100159,A,2026-05-17 12:00:00
100160,A,2026-05-08 12:00:00
100161,B,2026-05-17 13:00:00
100162,B,2026-05-12 03:00:00
100163,B,2026-05-18 17:00:00
100164,A,2026-05-13 20:00:00
100165,A,2026-05-24 12:00:00
100166,B,2026-05-17 03:00:00
100167,B,2026-05-03 12:00:00
100168,B,2026-05-24 06:00:00
100169,B,2026-05-20 00:00:00
100170,A,2026-05-27 03:00:00
100171,B,2026-05-01 13:00:00
100172,B,2026-05-03 12:00:00
100173,B,2026-05-06 05:00:00
100174,B,2026-05-05 22:00:00
100175,A,2026-05-25 13:00:00
100176,B,2026-05-04 20:00:00
100177,A,2026-05-25 22:00:00
100178,B,2026-05-13 21:00:00
100179,A,2026-05-17 04:00:00
100180,A,2026-05-17 21:00:00
100181,A,2026-05-16 06:00:00
100182,A,2026-05-07 20:00:00
100183,A,2026-05-18 12:00:00
100184,B,2026-05-23 21:00:00
100185,B,2026-05-20 07:00:00
100186,A,2026-05-25 22:00:00
100187,B,2026-05-28 03:00:00
100188,A,2026-05-16 12:00:00
100189,A,2026-05-15 20:00:00
100190,A,2026-05-24 12:00:00
100191,B,2026-05-23 22:00:00
100192,B,2026-05-16 04:00:00
100193,B,2026-05-28 14:00:00
100194,A,2026-05-24 16:00:00
100195,B,2026-05-03 08:00:00
100196,A,2026-05-17 22:00:00
100197,A,2026-05-05 06:00:00
100198,A,2026-05-07 18:00:00
100199,B,2026-05-24 22:00:00
100200,B,2026-05-14 01:00:00
100201,A,2026-05-04 21:00:00
100202,A,2026-05-16 04:00:00
100203,A,2026-05-28 09:00:00
100204,A,2026-05-07 23:00:00
100205,A,2026-05-19 09:00:00
100206,A,2026-05-06 02:00:00
100207,B,2026-05-10 10:00:00
100208,A,2026-05-17 03:00:00
100209,B,2026-05-19 10:00:00
100210,A,2026-05-20 03:00:00
100211,A,2026-05-19 00:00:00
100212,B,2026-05-05 06:00:00
100213,A,2026-05-05 20:00:00
100214,B,2026-05-17 02:00:00
100215,B,2026-05-12 09:00:00
100216,B,2026-05-28 08:00:00
100217,B,2026-05-26 22:00:00
100218,A,2026-05-22 14:00:00
100219,A,2026-05-18 20:00:00
100220,B,2026-05-08 23:00:00
100221,A,2026-05-28 19:00:00
100222,B,2026-05-25 13:00:00
100223,A,2026-05-02 02:00:00
100224,B,2026-05-19 00:00:00
100225,B,2026-05-02 20:00:00
100226,A,2026-05-15 07:00:00
100227,B,2026-05-06 05:00:00
100228,A,2026-05-25 03:00:00
100229,A,2026-05-07 19:00:00
100230,B,2026-05-08 09:00:00
100231,A,2026-05-14 16:00:00
100232,B,2026-05-06 11:00:00
100233,A,2026-05-13 11:00:00
100234,B,2026-05-12 08:00:00
100235,B,2026-05-10 18:00:00
100236,A,2026-05-12 09:00:00
100237,B,2026-05-12 05:00:00
100238,A,2026-05-01 12:00:00
100239,B,2026-05-13 11:00:00
100240,B,2026-05-06 23:00:00
100241,A,2026-05-09 11:00:00
100242,B,2026-05-04 17:00:00
100243,B,2026-05-15 02:00:00
100244,A,2026-05-23 09:00:00
100245,A,2026-05-14 22:00:00
100246,A,2026-05-17 06:00:00
100247,A,2026-05-18 13:00:00
100248,B,2026-05-15 16:00:00
100249,B,2026-05-16 16:00:00
100250,B,2026-05-22 00:00:00
100251,B,2026-05-02 00:00:00
100252,B,2026-05-16 16:00:00
100253,A,2026-05-19 15:00:00
100254,B,2026-05-22 17:00:00
100255,A,2026-05-04 18:00:00
100256,B,2026-05-26 04:00:00
100257,A,2026-05-13 08:00:00
100258,B,2026-05-28 02:00:00
100259,B,2026-05-26 10:00:00
100260,A,2026-05-02 12:00:00
100261,B,2026-05-08 19:00:00
100262,A,2026-05-18 01:00:00
100263,B,2026-05-17 19:00:00
100264,B,2026-05-28 08:00:00
100265,A,2026-05-15 11:00:00
100266,A,2026-05-10 15:00:00
100267,B,2026-05-15 13:00:00
100268,B,2026-05-19 01:00:00
100269,B,2026-05-02 02:00:00
100270,B,2026-05-18 00:00:00
100271,B,2026-05-26 09:00:00
100272,B,2026-05-27 20:00:00
100273,A,2026-05-23 01:00:00
100274,B,2026-05-12 14:00:00
100275,B,2026-05-26 05:00:00
100276,A,2026-05-11 13:00:00
100277,A,2026-05-23 01:00:00
100278,B,2026-05-28 16:00:00
100279,A,2026-05-10 02:00:00
100280,B,2026-05-25 20:00:00
100281,B,2026-05-21 16:00:00
100282,B,2026-05-10 09:00:00
100283,B,2026-05-19 15:00:00
100284,A,2026-05-17 04:00:00
100285,A,2026-05-06 23:00:00
100286,B,2026-05-22 14:00:00
100287,B,2026-05-24 08:00:00
100288,A,2026-05-27 22:00:00
100289,B,2026-05-21 07:00:00
100290,B,2026-05-02 05:00:00
100291,A,2026-05-01 21:00:00
100292,A,2026-05-27 21:00:00
100293,A,2026-05-08 15:00:00
100294,A,2026-05-19 00:00:00
100295,A,2026-05-04 03:00:00
100296,A,2026-05-08 04:00:00
100297,B,2026-05-28 18:00:00
100298,A,2026-05-12 00:00:00
100299,A,2026-05-01 05:00:00
100300,A,2026-05-24 02:00:00
100301,B,2026-05-19 05:00:00
100302,B,2026-05-01 09:00:00
100303,B,2026-05-11 02:00:00
100304,B,2026-05-05 18:00:00
100305,A,2026-05-22 17:00:00
100306,B,2026-05-02 11:00:00
100307,A,2026-05-17 22:00:00
100308,B,2026-05-08 05:00:00
100309,B,2026-05-22 23:00:00
100310,B,2026-05-23 09:00:00
100311,A,2026-05-02 13:00:00
100312,A,2026-05-02 04:00:00
100313,B,2026-05-25 00:00:00
100314,A,2026-05-15 20:00:00
100315,B,2026-05-24 14:00:00
100316,B,2026-05-28 15:00:00
100317,A,2026-05-25 12:00:00
100318,B,2026-05-07 04:00:00
100319,B,2026-05-23 09:00:00
100320,B,2026-05-06 22:00:00
100321,A,2026-05-26 06:00:00
100322,B,2026-05-01 18:00:00
100323,B,2026-05-16 10:00:00
100324,B,2026-05-22 06:00:00
100325,A,2026-05-16 02:00:00
100326,A,2026-05-06 21:00:00
100327,B,2026-05-26 07:00:00
100328,B,2026-05-13 18:00:00
100329,B,2026-05-21 06:00:00
100330,A,2026-05-18 12:00:00
100331,A,2026-05-28 22:00:00
100332,B,2026-05-24 18:00:00
100333,B,2026-05-05 20:00:00
100334,B,2026-05-23 23:00:00
100335,B,2026-05-03 22:00:00
100336,B,2026-05-05 18:00:00
100337,A,2026-05-24 19:00:00
100338,B,2026-05-19 21:00:00
100339,B,2026-05-06 21:00:00
100340,B,2026-05-28 22:00:00
100341,B,2026-05-22 08:00:00
100342,A,2026-05-04 03:00:00
100343,A,2026-05-04 04:00:00
100344,B,2026-05-04 08:00:00
100345,B,2026-05-04 03:00:00
100346,A,2026-05-23 14:00:00
100347,B,2026-05-10 07:00:00
100348,B,2026-05-28 01:00:00
100349,B,2026-05-06 08:00:00
100350,A,2026-05-18 23:00:00
100351,B,2026-05-12 02:00:00
100352,A,2026-05-26 00:00:00
100353,A,2026-05-23 02:00:00
100354,B,2026-05-28 04:00:00
100355,B,2026-05-24 00:00:00
100356,B,2026-05-14 23:00:00
100357,B,2026-05-23 07:00:00
100358,A,2026-05-02 11:00:00
100359,B,2026-05-02 01:00:00
100360,A,2026-05-17 04:00:00
100361,A,2026-05-26 21:00:00
100362,A,2026-05-26 00:00:00
100363,A,2026-05-10 05:00:00
100364,A,2026-05-04 18:00:00
100365,B,2026-05-22 01:00:00
100366,B,2026-05-25 13:00:00
100367,B,2026-05-15 01:00:00
100368,B,2026-05-03 09:00:00
100369,B,2026-05-22 23:00:00
100370,A,2026-05-07 21:00:00
100371,A,2026-05-03 20:00:00
100372,B,2026-05-28 13:00:00
100373,A,2026-05-12 07:00:00
100374,A,2026-05-20 20:00:00
100375,B,2026-05-07 02:00:00
100376,A,2026-05-24 23:00:00
100377,A,2026-05-09 02:00:00
100378,B,2026-05-04 06:00:00
100379,B,2026-05-24 15:00:00
100380,B,2026-05-20 03:00:00
100381,A,2026-05-03 06:00:00
100382,B,2026-05-11 10:00:00
100383,B,2026-05-08 18:00:00
100384,A,2026-05-03 15:00:00
100385,B,2026-05-20 01:00:00
100386,A,2026-05-04 01:00:00
100387,B,2026-05-07 02:00:00
100388,B,2026-05-06 08:00:00
100389,A,2026-05-15 08:00:00
100390,B,2026-05-16 06:00:00
100391,B,2026-05-28 22:00:00
100392,B,2026-05-11 00:00:00
100393,A,2026-05-27 00:00:00
100394,A,2026-05-09 21:00:00
100395,A,2026-05-09 20:00:00
100396,B,2026-05-04 00:00:00
100397,B,2026-05-12 21:00:00
100398,A,2026-05-09 04:00:00
100399,B,2026-05-12 13:00:00
100400,B,2026-05-26 16:00:00
100401,A,2026-05-08 21:00:00
100402,B,2026-05-13 15:00:00
100403,B,2026-05-03 20:00:00
100404,A,2026-05-01 23:00:00
100405,A,2026-05-06 23:00:00
100406,A,2026-05-15 13:00:00
100407,B,2026-05-09 20:00:00
100408,A,2026-05-26 18:00:00
100409,B,2026-05-14 01:00:00
100410,A,2026-05-03 01:00:00
100411,A,2026-05-03 08:00:00
100412,A,2026-05-09 19:00:00
100413,A,2026-05-11 23:00:00
100414,A,2026-05-15 05:00:00
100415,A,2026-05-22 16:00:00
100416,A,2026-05-13 18:00:00
100417,A,2026-05-28 16:00:00
100418,B,2026-05-26 13:00:00
100419,A,2026-05-23 09:00:00
100420,B,2026-05-23 04:00:00
100421,A,2026-05-02 23:00:00
100422,B,2026-05-16 08:00:00
100423,A,2026-05-14 02:00:00
100424,A,2026-05-10 21:00:00
100425,B,2026-05-23 12:00:00
100426,B,2026-05-16 23:00:00
100427,A,2026-05-24 00:00:00
100428,A,2026-05-08 20:00:00
100429,B,2026-05-15 06:00:00
100430,B,2026-05-10 22:00:00
100431,A,2026-05-26 20:00:00
100432,B,2026-05-19 20:00:00
100433,B,2026-05-15 06:00:00
100434,B,2026-05-19 18:00:00
100435,A,2026-05-20 06:00:00
100436,A,2026-05-12 00:00:00
100437,A,2026-05-22 12:00:00
100438,B,2026-05-09 17:00:00
100439,B,2026-05-27 21:00:00
100440,A,2026-05-02 18:00:00
100441,B,2026-05-02 03:00:00
100442,A,2026-05-14 15:00:00
100443,B,2026-05-24 12:00:00
100444,A,2026-05-06 16:00:00
100445,B,2026-05-15 12:00:00
100446,B,2026-05-03 23:00:00
100447,B,2026-05-23 07:00:00
100448,A,2026-05-21 07:00:00
100449,A,2026-05-09 13:00:00
100450,B,2026-05-26 00:00:00
100451,B,2026-05-09 23:00:00
100452,B,2026-05-02 14:00:00
100453,B,2026-05-06 09:00:00
100454,A,2026-05-27 23:00:00
100455,B,2026-05-06 21:00:00
100456,A,2026-05-08 07:00:00
100457,A,2026-05-11 10:00:00
100458,B,2026-05-13 01:00:00
100459,B,2026-05-18 04:00:00
100460,B,2026-05-08 12:00:00
100461,A,2026-05-20 19:00:00
100462,B,2026-05-12 23:00:00
100463,A,2026-05-23 19:00:00
100464,B,2026-05-14 21:00:00
100465,B,2026-05-10 22:00:00
100466,B,2026-05-16 22:00:00
100467,A,2026-05-12 20:00:00
100468,A,2026-05-22 02:00:00
100469,A,2026-05-12 21:00:00
100470,A,2026-05-09 23:00:00
100471,A,2026-05-24 02:00:00
100472,B,2026-05-28 17:00:00
100473,B,2026-05-01 10:00:00
100474,A,2026-05-09 15:00:00
100475,A,2026-05-02 20:00:00
100476,B,2026-05-23 00:00:00
100477,A,2026-05-11 14:00:00
100478,B,2026-05-26 01:00:00
100479,A,2026-05-06 20:00:00
100480,A,2026-05-07 04:00:00
100481,A,2026-05-22 06:00:00
100482,A,2026-05-06 06:00:00
100483,B,2026-05-09 16:00:00
100484,B,2026-05-28 20:00:00
100485,A,2026-05-04 00:00:00
100486,B,2026-05-05 10:00:00
100487,A,2026-05-21 18:00:00
100488,B,2026-05-03 11:00:00
100489,A,2026-05-25 00:00:00
100490,A,2026-05-04 21:00:00
100491,A,2026-05-13 09:00:00
100492,A,2026-05-25 13:00:00
100493,A,2026-05-08 08:00:00
100494,B,2026-05-17 03:00:00
100495,A,2026-05-23 15:00:00
100496,A,2026-05-20 03:00:00
100497,A,2026-05-07 18:00:00
100498,B,2026-05-08 08:00:00
100499,B,2026-05-28 02:00:00
100500,A,2026-05-13 19:00:00
100501,A,2026-05-08 14:00:00
100502,B,2026-05-18 11:00:00
100503,B,2026-05-04 19:00:00
100504,A,2026-05-24 08:00:00
100505,A,2026-05-17 13:00:00
100506,A,2026-05-12 21:00:00
100507,B,2026-05-04 21:00:00
100508,A,2026-05-22 20:00:00
100509,B,2026-05-13 13:00:00
100510,B,2026-05-19 23:00:00
100511,A,2026-05-20 07:00:00
100512,A,2026-05-05 16:00:00
100513,A,2026-05-01 20:00:00
100514,B,2026-05-24 21:00:00
100515,A,2026-05-11 02:00:00
100516,B,2026-05-11 22:00:00
100517,B,2026-05-23 07:00:00
100518,B,2026-05-18 01:00:00
100519,B,2026-05-12 16:00:00
100520,A,2026-05-20 03:00:00
100521,B,2026-05-10 23:00:00
100522,A,2026-05-21 21:00:00
100523,A,2026-05-22 22:00:00
100524,A,2026-05-23 11:00:00
100525,A,2026-05-17 09:00:00
100526,B,2026-05-26 08:00:00
100527,B,2026-05-17 03:00:00
100528,A,2026-05-16 07:00:00
100529,A,2026-05-20 19:00:00
100530,A,2026-05-10 08:00:00
100531,B,2026-05-25 10:00:00
100532,A,2026-05-04 01:00:00
100533,A,2026-05-18 02:00:00
100534,B,2026-05-17 05:00:00
100535,B,2026-05-15 00:00:00
100536,B,2026-05-12 14:00:00
100537,A,2026-05-16 23:00:00
100538,A,2026-05-21 06:00:00
100539,B,2026-05-22 11:00:00
100540,B,2026-05-18 20:00:00
100541,B,2026-05-05 02:00:00
100542,A,2026-05-22 15:00:00
100543,B,2026-05-02 09:00:00
100544,A,2026-05-24 19:00:00
100545,A,2026-05-09 21:00:00
100546,B,2026-05-01 11:00:00
100547,B,2026-05-26 06:00:00
100548,A,2026-05-28 02:00:00
100549,B,2026-05-15 19:00:00
100550,B,2026-05-25 22:00:00
100551,A,2026-05-12 09:00:00
100552,A,2026-05-22 21:00:00
100553,A,2026-05-21 15:00:00
100554,B,2026-05-15 17:00:00
100555,B,2026-05-07 01:00:00
100556,A,2026-05-14 22:00:00
100557,A,2026-05-16 16:00:00
100558,B,2026-05-23 00:00:00
100559,A,2026-05-08 18:00:00
100560,A,2026-05-05 17:00:00
100561,A,2026-05-17 15:00:00
100562,B,2026-05-12 00:00:00
100563,B,2026-05-08 04:00:00
100564,B,2026-05-02 07:00:00
100565,B,2026-05-22 22:00:00
100566,B,2026-05-18 18:00:00
100567,A,2026-05-22 14:00:00
100568,A,2026-05-28 07:00:00
100569,A,2026-05-04 02:00:00
100570,B,2026-05-06 01:00:00
100571,A,2026-05-19 02:00:00
100572,A,2026-05-16 20:00:00
100573,B,2026-05-05 10:00:00
100574,A,2026-05-11 21:00:00
100575,B,2026-05-27 18:00:00
100576,A,2026-05-05 03:00:00
100577,B,2026-05-07 05:00:00
100578,B,2026-05-07 01:00:00
100579,B,2026-05-03 04:00:00
100580,A,2026-05-10 10:00:00
100581,B,2026-05-11 03:00:00
100582,B,2026-05-04 12:00:00
100583,A,2026-05-16 17:00:00
100584,B,2026-05-09 07:00:00
100585,B,2026-05-11 13:00:00
100586,A,2026-05-02 01:00:00
100587,A,2026-05-09 23:00:00
100588,B,2026-05-17 00:00:00
100589,B,2026-05-23 04:00:00
100590,A,2026-05-20 03:00:00
100591,B,2026-05-27 06:00:00
100592,A,2026-05-20 04:00:00
100593,A,2026-05-22 13:00:00
100594,B,2026-05-15 05:00:00
100595,A,2026-05-02 16:00:00
100596,A,2026-05-11 05:00:00
100597,A,2026-05-05 05:00:00
100598,B,2026-05-02 13:00:00
100599,A,2026-05-03 01:00:00
100600,A,2026-05-18 15:00:00
100601,A,2026-05-17 18:00:00
100602,A,2026-05-06 12:00:00
100603,B,2026-05-08 06:00:00
100604,A,2026-05-06 06:00:00
100605,A,2026-05-27 23:00:00
100606,B,2026-05-05 16:00:00
100607,B,2026-05-25 00:00:00
100608,B,2026-05-19 05:00:00
100609,A,2026-05-17 09:00:00
100610,A,2026-05-06 06:00:00
100611,B,2026-05-05 12:00:00
100612,B,2026-05-01 17:00:00
100613,B,2026-05-13 02:00:00
100614,B,2026-05-01 06:00:00
100615,A,2026-05-04 16:00:00
100616,B,2026-05-13 21:00:00
100617,A,2026-05-05 01:00:00
100618,B,2026-05-23 04:00:00
100619,A,2026-05-28 06:00:00
100620,A,2026-05-08 16:00:00
100621,B,2026-05-25 15:00:00
100622,B,2026-05-15 03:00:00
100623,A,2026-05-26 13:00:00
100624,B,2026-05-18 01:00:00
100625,B,2026-05-28 05:00:00
100626,B,2026-05-26 10:00:00
100627,B,2026-05-19 19:00:00
100628,B,2026-05-21 11:00:00
100629,B,2026-05-24 03:00:00
100630,A,2026-05-05 11:00:00
100631,B,2026-05-06 07:00:00
100632,A,2026-05-25 04:00:00
100633,A,2026-05-07 19:00:00
100634,B,2026-05-18 11:00:00
100635,A,2026-05-14 07:00:00
100636,A,2026-05-23 22:00:00
100637,A,2026-05-07 00:00:00
100638,A,2026-05-26 12:00:00
100639,B,2026-05-01 06:00:00
100640,B,2026-05-09 13:00:00
100641,A,2026-05-21 02:00:00
100642,A,2026-05-07 15:00:00
100643,B,2026-05-19 18:00:00
100644,A,2026-05-27 02:00:00
100645,A,2026-05-16 09:00:00
100646,B,2026-05-20 13:00:00
100647,A,2026-05-06 11:00:00
100648,A,2026-05-07 03:00:00
100649,A,2026-05-06 11:00:00
100650,B,2026-05-20 21:00:00
100651,A,2026-05-02 21:00:00
100652,A,2026-05-10 16:00:00
100653,B,2026-05-10 12:00:00
100654,B,2026-05-02 00:00:00
100655,A,2026-05-05 06:00:00
100656,B,2026-05-15 12:00:00
100657,B,2026-05-09 21:00:00
100658,B,2026-05-05 06:00:00
100659,B,2026-05-04 00:00:00
100660,A,2026-05-02 00:00:00
100661,B,2026-05-27 02:00:00
100662,B,2026-05-28 02:00:00
100663,B,2026-05-13 00:00:00
100664,B,2026-05-17 10:00:00
100665,A,2026-05-02 02:00:00
100666,A,2026-05-26 11:00:00
100667,B,2026-05-12 04:00:00
100668,B,2026-05-09 16:00:00
100669,A,2026-05-11 10:00:00
100670,A,2026-05-24 00:00:00
100671,B,2026-05-26 09:00:00
100672,A,2026-05-06 13:00:00
100673,A,2026-05-22 02:00:00
100674,A,2026-05-08 20:00:00
100675,B,2026-05-05 01:00:00
100676,B,2026-05-09 01:00:00
100677,A,2026-05-26 07:00:00
100678,B,2026-05-17 08:00:00
100679,B,2026-05-25 18:00:00
100680,A,2026-05-15 11:00:00
100681,A,2026-05-21 19:00:00
100682,B,2026-05-18 16:00:00
100683,B,2026-05-06 16:00:00
100684,A,2026-05-02 05:00:00
100685,A,2026-05-02 20:00:00
100686,A,2026-05-12 22:00:00
100687,A,2026-05-27 14:00:00
100688,B,2026-05-28 19:00:00
100689,A,2026-05-26 06:00:00
100690,B,2026-05-09 21:00:00
100691,B,2026-05-05 20:00:00
100692,A,2026-05-12 21:00:00
100693,B,2026-05-25 23:00:00
100694,B,2026-05-12 18:00:00
100695,B,2026-05-27 19:00:00
100696,A,2026-05-16 06:00:00
100697,A,2026-05-25 20:00:00
100698,A,2026-05-25 06:00:00
100699,A,2026-05-05 05:00:00
100700,B,2026-05-08 04:00:00
100701,B,2026-05-20 15:00:00
100702,B,2026-05-25 12:00:00
100703,B,2026-05-13 01:00:00
100704,A,2026-05-16 21:00:00
100705,B,2026-05-22 01:00:00
100706,A,2026-05-26 05:00:00
100707,B,2026-05-21 12:00:00
100708,A,2026-05-08 03:00:00
100709,B,2026-05-16 00:00:00
100710,B,2026-05-28 10:00:00
100711,B,2026-05-19 13:00:00
100712,B,2026-05-10 13:00:00
100713,B,2026-05-09 00:00:00
100714,A,2026-05-08 05:00:00
100715,A,2026-05-10 20:00:00
100716,A,2026-05-24 11:00:00
100717,B,2026-05-21 21:00:00
100718,A,2026-05-18 20:00:00
100719,A,2026-05-02 09:00:00
100720,A,2026-05-07 06:00:00
100721,A,2026-05-07 00:00:00
100722,A,2026-05-15 13:00:00
100723,B,2026-05-21 11:00:00
100724,A,2026-05-02 04:00:00
100725,A,2026-05-09 01:00:00
100726,B,2026-05-13 17:00:00
100727,A,2026-05-05 02:00:00
100728,A,2026-05-22 02:00:00
100729,A,2026-05-16 12:00:00
100730,A,2026-05-10 16:00:00
100731,A,2026-05-01 13:00:00
100732,A,2026-05-19 09:00:00
100733,B,2026-05-22 23:00:00
100734,A,2026-05-28 13:00:00
100735,B,2026-05-21 16:00:00
100736,A,2026-05-10 22:00:00
100737,A,2026-05-16 19:00:00
100738,A,2026-05-23 00:00:00
100739,A,2026-05-11 20:00:00
100740,A,2026-05-22 18:00:00
100741,A,2026-05-13 14:00:00
100742,A,2026-05-22 17:00:00
100743,A,2026-05-12 18:00:00
100744,A,2026-05-20 11:00:00
100745,B,2026-05-14 18:00:00
100746,A,2026-05-28 21:00:00
100747,A,2026-05-01 11:00:00
100748,B,2026-05-09 04:00:00
100749,A,2026-05-11 07:00:00
100750,B,2026-05-18 09:00:00
100751,A,2026-05-22 05:00:00
100752,A,2026-05-27 14:00:00
100753,B,2026-05-02 16:00:00
100754,B,2026-05-20 21:00:00
100755,A,2026-05-10 16:00:00
100756,B,2026-05-17 03:00:00
100757,B,2026-05-27 17:00:00
100758,A,2026-05-15 14:00:00
100759,A,2026-05-08 17:00:00
100760,A,2026-05-19 01:00:00
100761,B,2026-05-17 23:00:00
100762,B,2026-05-12 03:00:00
100763,B,2026-05-01 05:00:00
100764,A,2026-05-02 03:00:00
100765,A,2026-05-28 16:00:00
100766,A,2026-05-21 13:00:00
100767,A,2026-05-08 22:00:00
100768,A,2026-05-21 05:00:00
100769,A,2026-05-24 12:00:00
100770,B,2026-05-16 04:00:00
100771,B,2026-05-04 18:00:00
100772,B,2026-05-28 04:00:00
100773,A,2026-05-24 21:00:00
100774,B,2026-05-04 12:00:00
100775,A,2026-05-13 19:00:00
100776,B,2026-05-26 00:00:00
